Protein	20161003_004_10188	20161003_006_686	20161003_007_534	20161003_009_10201	20161003_010_10132	20161003_012_10130	20161003_013_217	20161003_015_442	20161003_016_10206	20161003_019_10217	20161003_020_407	20161003_022_10204	20161003_023_397	20161003_025_523	20161003_026_10198	20161003_028_562	20170428_02_heartbiopsy_1	20170428_03_heartbiopsy_2	20170428_05_heartbiopsy_4	20170428_06_heartbiopsy_5	20170428_11_heartbiopsy_3
sp|Q02978|M2OM_HUMAN	15.752878	15.105661	15.191285	15.066312	13.362608	12.221711	15.907416	14.957649	15.128819	15.625195	15.143542	13.950137	14.924081	15.832901	14.010824	13.936246	16.582476	15.757195	14.609052	15.022903	13.583066
sp|Q03135|CAV1_HUMAN	14.53878	14.395485	14.691655	14.52834	14.623937	15.173083	15.04421	14.311015	13.831411	14.69767	15.021409	15.051519	14.511489	15.2133045	14.477675	14.232135	15.663477	13.71884	13.50418	14.558611	15.442483
sp|Q03252|LMNB2_HUMAN	12.104865	12.861291	11.820057	13.35331	13.133978	13.916675	10.88078	11.800606	12.703119	11.938723	11.225326	12.480983	11.386793	10.641572	12.814955	14.408447	12.071232	11.438453	11.3132515	12.920214	9.981796
sp|Q04446|GLGB_HUMAN	12.183724	11.897611	12.288094	12.744188	11.151711	9.862029	12.179519	11.024707	11.457311	11.554916	12.264012	10.912022	11.872411	12.342859	11.048893	10.427029	12.4469595	13.457026	12.541684	11.235284	12.609573
sp|Q04695|K1C17_HUMAN	8.70976	7.4111676	8.961115	7.208579	8.720045	8.042384	9.006664	7.870119	7.966384	9.36618	8.420982	14.22744	8.4584675	7.550687	7.104108	6.2700343	NaN	NaN	6.673568	NaN	7.4412684
sp|Q04760|LGUL_HUMAN	12.347147	12.775718	12.329785	12.619671	12.987528	12.860256	12.198909	13.020371	11.963542	12.614094	12.42135	12.783762	13.087354	12.610578	12.678273	13.299686	11.2108965	12.772936	12.253405	10.68461	11.614648
sp|Q04837|SSBP_HUMAN	12.8444195	13.333627	12.26663	13.3157625	13.8479185	15.131507	13.400758	13.215672	13.206742	12.989544	12.636218	13.455053	13.338921	12.67449	13.930344	14.2972555	14.302132	11.48925	13.110987	11.102155	8.065457
sp|Q04917|1433F_HUMAN	10.752995	11.082447	10.844351	11.010813	11.502918	11.703047	10.650037	10.20655	11.053253	10.577406	10.622445	10.6130495	9.680367	10.425898	10.670131	11.363221	5.8748255	NaN	7.0644774	NaN	NaN
sp|Q05639|EF1A2_HUMAN	18.098305	18.16772	18.468094	18.745909	17.731697	17.096554	17.949896	17.660465	18.412851	18.031788	17.718428	17.330309	17.900047	17.91655	17.94123	17.566765	18.987597	19.19292	19.786541	18.502026	19.23679
sp|Q05682|CALD1_HUMAN	11.762854	12.314276	10.894062	11.920163	13.173299	11.528574	12.627379	11.568428	12.300705	11.669931	11.553463	12.91548	11.284357	11.032425	12.52116	13.211134	12.342373	12.333693	12.279878	12.684916	16.380339
sp|Q05707|COEA1_HUMAN	11.475048	12.632507	11.323063	10.373002	12.673486	12.734034	11.505878	12.103169	9.879497	11.723869	11.685291	11.909673	11.130952	10.304809	10.574366	10.801741	12.484188	10.543469	8.100867	9.708456	12.708486
sp|Q06124|PTN11_HUMAN	7.041888	NaN	7.652963	NaN	7.6526847	NaN	7.468243	8.083964	NaN	7.601809	9.083352	7.2233763	8.412755	9.468834	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q06323|PSME1_HUMAN	10.729612	10.796245	11.582417	10.788832	11.083129	9.278183	11.793092	10.726519	10.830955	10.803335	11.754629	11.406588	12.353394	11.054357	10.783003	11.233793	7.995803	7.467912	10.275407	11.611598	12.269376
sp|Q06828|FMOD_HUMAN	9.353725	5.2616878	3.1527731	5.41573	9.238021	7.2474513	5.199517	9.189764	-2.177771	NaN	8.84223	9.264056	NaN	2.4207864	7.98221	NaN	6.974392	14.315609	10.93705	8.24503	NaN
sp|Q06830|PRDX1_HUMAN	13.855497	13.655516	14.254541	14.172167	14.844984	14.281114	14.423502	14.64711	13.905437	14.567659	14.507827	14.553944	15.218635	14.566375	13.76799	14.685831	16.625446	17.376343	16.879646	17.023895	14.203169
sp|Q07020|RL18_HUMAN	10.81978	11.157832	10.68928	11.604883	9.482899	10.054715	10.384005	10.120683	10.253105	10.135702	10.180211	10.633677	9.917315	10.812793	10.009906	10.173557	10.437523	9.732082	6.936051	7.021826	6.8266644
sp|Q07021|C1QBP_HUMAN	14.455068	13.085739	14.075553	13.947169	14.636829	14.759648	15.011132	14.504206	14.065812	14.872448	14.490442	14.937225	14.866863	14.453149	14.344516	13.63684	15.827052	16.614578	16.298088	15.759495	14.209404
sp|Q07065|CKAP4_HUMAN	11.797104	12.416095	11.606824	12.423481	12.267864	12.436286	12.128612	11.168812	11.996233	12.484684	11.85318	11.9944725	11.316604	11.721703	11.936708	11.839996	11.234905	11.874262	12.200509	12.8373995	10.399521
sp|Q07157|ZO1_HUMAN	10.693089	10.587944	10.859918	10.305824	12.112548	11.812889	11.260388	10.73648	10.645487	11.018204	11.056907	11.353487	10.572907	10.383549	10.743202	10.4749975	11.317804	9.924507	10.7767515	11.152775	8.610861
