	Fluct DMSO_T0_0959	Fluct DMSO_T0_0960	Fluct DMSO_T0_0958	Fluct DMSO_T2_0962	Fluct DMSO_T2_0961	Fluct DMSO_T2_0963	Fluct DMSO_T8_0964	Fluct DMSO_T8_0966	Fluct DMSO_T8_0965	Fluct DMSO_T24_0968	Fluct DMSO_T24_0967	Fluct DMSO_T24_0969	Fluct DMSO_T72_0970	Fluct DMSO_T72_0972	Fluct DMSO_T72_0971	Fluct DMSO_T168_0973	Fluct DMSO_T168_0975	Fluct DMSO_T168_0974	Fluct DMSO_T240_0976	Fluct DMSO_T240_0977	Fluct DMSO_T240_0978	Fluct DMSO_T336_0979	Fluct DMSO_T336_0981	Fluct DMSO_T336_0980	DOX_Therapeutic_T2_274	DOX_Therapeutic_T2_275	DOX_Therapeutic_T2_276	DOX_Therapeutic_T8_278	DOX_Therapeutic_T8_279	DOX_Therapeutic_T8_277	DOX_Therapeutic_T8_278	DOX_Therapeutic_T8_279	DOX_Therapeutic_T8_277	DOX_Therapeutic_T24_282	DOX_Therapeutic_T24_280	DOX_Therapeutic_T24_281	DOX_Therapeutic_T72_284	DOX_Therapeutic_T72_283	DOX_Therapeutic_T72_285	DOX_Therapeutic_T168_286	DOX_Therapeutic_T168_288	DOX_Therapeutic_T168_287	DOX_Therapeutic_T240_290	DOX_Therapeutic_T240_291	DOX_Therapeutic_T240_289	DOX_Therapeutic_T336_292	DOX_Therapeutic_T336_294	DOX_Therapeutic_T336_293	DOX_Toxic_T2_295	DOX_Toxic_T2_296	DOX_Toxic_T2_297	DOX_Toxic_T8_299	DOX_Toxic_T8_298	DOX_Toxic_T8_300	DOX_Toxic_T24_302	DOX_Toxic_T24_301	DOX_Toxic_T24_303	DOX_Toxic_T72_306	DOX_Toxic_T72_305	DOX_Toxic_T72_304	DOX_Toxic_T168_307	DOX_Toxic_T168_308	DOX_Toxic_T168_309	DOX_Toxic_T240_311	DOX_Toxic_T240_312	DOX_Toxic_T240_310	DOX_Toxic_T336_313	DOX_Toxic_T336_315	DOX_Toxic_T336_314	EPI_Therapeutic_T2_317	EPI_Therapeutic_T2_316	EPI_Therapeutic_T2_318	EPI_Therapeutic_T8_321	EPI_Therapeutic_T8_320	EPI_Therapeutic_T8_319	EPI_Therapeutic_T24_323	EPI_Therapeutic_T24_324	EPI_Therapeutic_T24_322	EPI_Therapeutic_T72_325	EPI_Therapeutic_T72_326	EPI_Therapeutic_T72_327	EPI_Therapeutic_T168_329	EPI_Therapeutic_T168_328	EPI_Therapeutic_T168_330	EPI_Therapeutic_T240_332	EPI_Therapeutic_T240_333	EPI_Therapeutic_T240_331	EPI_Therapeutic_T336_334	EPI_Therapeutic_T336_336	EPI_Therapeutic_T336_335	EPI_Toxic_T2_338	EPI_Toxic_T2_339	EPI_Toxic_T2_337	EPI_Toxic_T8_340	EPI_Toxic_T8_341	EPI_Toxic_T8_342	EPI_Toxic_T24_344	EPI_Toxic_T24_345	EPI_Toxic_T24_343	EPI_Toxic_T72_347	EPI_Toxic_T72_348	EPI_Toxic_T72_346	EPI_Toxic_T168_349	EPI_Toxic_T168_351	EPI_Toxic_T168_350	EPI_Toxic_T240_354	EPI_Toxic_T240_353	EPI_Toxic_T240_352	EPI_Toxic_T336_355	EPI_Toxic_T336_357	EPI_Toxic_T336_356	IDA_Therapeutic_T2_211	IDA_Therapeutic_T2_213	IDA_Therapeutic_T2_212	IDA_Therapeutic_T8_214	IDA_Therapeutic_T8_215	IDA_Therapeutic_T8_216	IDA_Therapeutic_T24_217	IDA_Therapeutic_T24_218	IDA_Therapeutic_T24_219	IDA_Therapeutic_T72_222	IDA_Therapeutic_T72_221	IDA_Therapeutic_T72_220	IDA_Therapeutic_T168_223	IDA_Therapeutic_T168_224	IDA_Therapeutic_T168_225	IDA_Therapeutic_T240_228	IDA_Therapeutic_T240_227	IDA_Therapeutic_T240_226	IDA_Therapeutic_T336_230	IDA_Therapeutic_T336_229	IDA_Therapeutic_T336_231	IDA_Toxic_T2_232	IDA_Toxic_T2_233	IDA_Toxic_T8_237	IDA_Toxic_T8_236	IDA_Toxic_T8_235	IDA_Toxic_T24_238	IDA_Toxic_T24_240	IDA_Toxic_T72_242	IDA_Toxic_T72_243	IDA_Toxic_T72_241	IDA_Toxic_T168_245	IDA_Toxic_T168_246	IDA_Toxic_T168_244	DAU_Therapeutic_T0_618	DAU_Therapeutic_T0_617	DAU_Therapeutic_T0_616	DAU_Therapeutic_T240_634	DAU_Therapeutic_T240_636	DAU_Therapeutic_T240_635	DAU_Therapeutic_T168_633	DAU_Therapeutic_T168_631	DAU_Therapeutic_T168_632	DAU_Therapeutic_T72_630	DAU_Therapeutic_T72_629	DAU_Therapeutic_T72_628	DAU_Therapeutic_T24_625	DAU_Therapeutic_T24_627	DAU_Therapeutic_T24_626	DAU_Therapeutic_T8_623	DAU_Therapeutic_T8_624	DAU_Therapeutic_T8_622	DAU_Therapeutic_T2_619	DAU_Therapeutic_T2_621	DAU_Therapeutic_T2_620	DAU_Therapeutic_T336_639	DAU_Therapeutic_T336_638	DAU_Therapeutic_T336_637	DAU_Toxic_T240_657	DAU_Toxic_T240_655	DAU_Toxic_T240_656	DAU_Toxic_T168_652	DAU_Toxic_T168_654	DAU_Toxic_T168_653	DAU_Toxic_T72_649	DAU_Toxic_T72_651	DAU_Toxic_T72_650	DAU_Toxic_T24_646	DAU_Toxic_T24_647	DAU_Toxic_T24_648	DAU_Toxic_T8_643	DAU_Toxic_T8_645	DAU_Toxic_T8_644	DAU_Toxic_T2_642	DAU_Toxic_T2_641	DAU_Toxic_T2_640
sp|Q07020|RL18_HUMAN	12.928075	12.485297	12.714573	12.839698	12.916302	12.7251425	13.599409	12.84864	13.095652	13.376773	13.34781	12.792743	13.18995	13.149169	12.698643	12.758135	12.721488	12.70101	13.199609	12.582641	12.659654	12.446636	12.677832	12.5775	13.458158	13.465539	13.60899	13.622517	13.588282	13.497469	13.622517	13.588282	13.497469	13.936879	13.833243	14.054327	13.561787	13.600847	13.403374	13.275091	13.412851	13.324964	13.277212	13.408518	13.433048	13.829308	13.958933	13.898512	13.652117	13.904059	13.770358	13.729098	13.725762	13.686933	13.559178	13.618316	13.711808	13.200309	13.464597	13.383717	13.5520525	13.488795	13.628929	13.055649	12.858366	12.971811	13.658701	13.716268	13.637136	13.799848	13.828112	13.572363	14.017991	13.950031	13.558134	14.061252	14.312958	13.870465	13.765693	13.798914	13.678037	13.150811	13.333696	12.903616	13.739991	13.522047	13.315124	13.638611	13.418381	13.322898	13.810736	13.805467	13.525865	14.25652	13.867375	13.908727	13.839666	13.784103	13.846286	13.725457	13.591356	13.780793	14.047221	13.52819	13.705469	14.073573	13.639851	13.6368885	12.327338	12.561282	12.432213	14.012074	14.041182	14.29322	14.143372	13.664222	13.8989	13.709147	13.585657	13.559215	14.037309	14.09385	13.832479	13.4747925	13.47662	13.430486	13.260554	13.282068	13.480905	13.084107	13.772513	13.746362	13.526024	13.99526	13.761588	13.645777	13.930732	13.604021	14.036171	13.577484	13.992218	12.286893	13.349251	12.660863	13.12714	13.9241905	13.875025	14.179004	13.914535	13.645675	13.655912	13.614916	13.358444	13.1693735	13.906564	13.711673	14.120037	14.149879	13.773584	14.120612	14.031936	14.185359	14.06745	13.955262	14.251587	13.892055	13.360294	13.650607	13.91217	13.771358	13.548731	13.485785	13.390849	13.36797	13.702014	13.644383	13.374804	13.52714	13.848546	13.729012	13.488081	13.901059	13.827155	13.914025	13.972845	13.951282	13.841975
sp|Q07021|C1QBP_HUMAN	14.882846	15.026167	14.773169	14.781675	14.716231	14.794984	15.014757	14.867481	14.952675	14.9033985	14.501249	14.878829	15.00619	14.790378	14.711101	14.496328	14.569785	14.464127	14.569204	14.539769	14.387433	14.461271	15.247251	14.665964	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.081169	11.984415	11.986669	12.077663	12.139453	11.94465	12.159189	12.104799	11.807035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.997029	12.179855	11.681883	12.182612	11.951025	12.177127	11.627853	11.466419	10.864158	12.593135	12.635132	12.3686905	11.136742	11.704037	11.693902	12.075943	12.112632	12.064207	11.990219	11.885959	11.518143	11.890658	12.174027	12.064225	11.735165	11.5489435	11.29795	11.915961	11.437393	11.439092	12.065255	11.864795	11.6784725	10.991958	10.0065775	9.757637	11.78289	11.724491	11.673191	12.347651	12.042344	11.849985	12.207073	12.206908	12.286966	NaN	NaN	NaN	12.821625	11.93088	11.72401	NaN	NaN	NaN	12.79817	12.719205	11.424235	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.176287	11.912336	11.92511	11.888986	12.1262045	11.948363	12.394539	12.022637	12.167444	NaN	NaN	NaN	12.202725	11.949344	12.060509	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.6752825	11.423673	11.628763	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q07065|CKAP4_HUMAN	15.775502	16.0512	15.450221	15.797759	15.673935	16.083157	14.973097	15.790101	15.8118925	15.59559	15.609683	14.4120245	15.709976	15.718963	14.822765	15.258447	15.215535	15.721993	15.748116	15.520412	15.690856	14.23603	14.2879305	14.36988	13.135529	13.009073	13.177892	12.980241	12.7312565	12.88027	12.980241	12.7312565	12.88027	12.885308	13.049485	13.153018	12.438952	12.367543	12.47686	12.283539	12.121851	12.223119	13.143232	13.301998	12.920715	12.689135	12.5175085	12.7744875	12.833441	12.730341	12.420898	13.087934	12.910436	12.340114	13.392292	12.858269	13.574609	12.549048	13.347947	13.081945	12.223294	12.183293	12.547002	13.409912	12.939509	13.105419	13.192298	12.881484	12.64898	11.724298	11.745264	11.7373	12.030226	12.383812	12.5737915	12.142528	12.0091715	11.719244	12.733902	12.809713	13.101118	12.8366	12.636393	12.499008	12.99462	12.813095	12.968576	12.081697	12.06812	11.8810425	12.843126	12.6569605	12.916753	12.520349	12.550916	12.707738	11.946846	11.924445	11.783453	12.497468	12.224078	12.134071	13.80458	12.870814	12.875067	13.061332	12.779185	12.990962	12.99001	13.078053	12.7313175	12.801042	12.8765745	13.208128	13.6621275	13.139085	13.485861	13.3515215	13.334125	13.123202	13.519246	13.523395	13.199452	13.4249935	13.510152	13.468225	13.801243	13.367662	13.721445	13.264077	13.203081	13.050065	13.268644	13.9014	13.372197	13.653036	13.534921	13.102562	13.228225	13.128227	13.522961	13.629001	13.011954	12.60368	12.706749	15.563582	15.595215	15.253696	14.393413	14.058667	13.982019	14.521264	14.383938	14.4398155	14.319408	14.40076	14.062094	15.23175	15.177997	15.16497	15.201303	15.185843	14.592126	15.081591	15.02217	14.979088	14.710643	14.509835	14.319286	15.243113	15.301838	14.286528	15.090359	15.147708	14.900345	15.188279	14.596134	15.078697	15.402485	15.545386	15.343962	14.326443	14.065305	13.761067	14.435682	14.445094	14.161336
sp|Q07157|ZO1_HUMAN	9.515042	8.461643	10.173914	8.914161	9.372372	6.697018	9.59403	8.099143	8.995261	9.496414	9.420302	9.47092	9.09224	9.720713	9.011821	9.495375	9.54453	9.558979	9.234009	8.854405	9.311845	9.396749	8.075993	9.776346	NaN	NaN	NaN	9.961225	10.2794285	10.0375	NaN	NaN	NaN	9.53001	9.444816	9.353272	8.376895	8.299129	8.900202	8.483561	8.0430975	8.058331	NaN	NaN	NaN	8.644446	8.6195	8.345971	9.406834	9.40542	9.168907	10.516266	10.342427	10.633399	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.376568	10.582106	10.756705	10.7362	10.877293	10.959375	NaN	NaN	NaN	NaN	NaN	NaN	9.466622	9.53708	9.321502	NaN	NaN	NaN	NaN	NaN	NaN	9.538176	9.391071	9.484624	10.501504	10.665006	10.412555	NaN	NaN	NaN	8.87332	8.596325	8.608406	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.716888	10.498384	10.647452	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.224503	10.085051	9.984351
sp|Q07666|KHDR1_HUMAN	13.031177	13.317458	12.938813	11.540759	11.768064	11.351249	11.816487	13.08835	12.593977	10.921877	11.055664	11.4665575	13.344545	13.217686	13.289329	12.914479	12.724415	13.13123	12.829748	12.84595	13.3072195	11.770892	11.898555	11.923925	11.177756	11.1181135	11.370631	11.610122	11.483182	11.30158	NaN	NaN	NaN	11.440303	11.467694	11.410081	11.373907	11.346125	11.46367	11.3627205	11.344917	11.345522	11.13985	11.25964	11.228825	11.340747	11.455682	11.463649	12.03849	11.816802	11.683874	12.203768	12.043475	11.898133	11.82054	12.066354	11.824767	11.822356	11.7637	11.796114	11.330633	11.308144	11.193405	11.306895	10.872069	11.09087	NaN	NaN	NaN	12.176929	12.055139	12.23955	11.672613	11.979191	11.823905	11.603454	11.424241	11.40767	11.896902	11.932008	11.910552	11.790113	11.76186	11.721437	12.016447	11.759577	11.833099	11.708561	12.005317	12.024767	11.954855	12.054028	12.004073	12.154953	11.638046	11.661502	11.504949	11.477547	11.502086	11.337449	11.187981	11.242532	11.0550585	10.64284	10.853104	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.418435	11.024648	11.066766	NaN	NaN	NaN	NaN	NaN	NaN	10.980928	10.906086	10.72306	11.054872	11.323876	11.5734005	11.439915	11.146035	11.522124	10.175747	10.539722	10.576317	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.623051	11.825439	12.160678	NaN	NaN	NaN	11.779221	11.238738	11.332094
sp|Q07666|KHDR1_HUMAN : sp|Q5VWX1|KHDR2_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.678783	10.469351	10.854609	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q07866|KLC1_HUMAN	9.473447	9.256884	9.562216	9.973184	9.601448	9.701382	9.116946	7.4687247	7.8794065	NaN	NaN	NaN	NaN	NaN	NaN	9.594457	10.02446	9.796285	10.144193	10.411349	10.122744	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.765721	9.9160385	8.298891	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.665481	8.62495	8.83413	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q07866|KLC1_HUMAN : sp|Q9H0B6|KLC2_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.686243	8.016736	8.488311	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.376392	9.464619	9.328376	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q07954|LRP1_HUMAN	11.163949	11.452518	11.6467705	11.216274	11.159195	11.094049	11.255023	11.333554	11.120136	11.120474	10.567483	11.812951	11.043222	11.039098	11.250565	10.135203	10.261367	10.40986	10.104715	10.074551	9.90451	10.298774	10.381029	10.457659	10.184913	10.024957	10.202201	10.993696	10.972378	10.8810425	10.993696	10.972378	10.8810425	10.651311	10.65626	10.688527	10.659932	10.772018	11.00627	10.385397	10.3489895	10.587182	10.302291	9.980694	10.05174	10.231734	10.330719	10.247042	11.137519	10.9039545	10.980429	9.930874	9.963692	10.251978	9.946342	10.193534	10.029135	11.121139	10.997705	11.00508	11.4189415	11.317941	11.475688	11.436146	11.33511	11.210344	11.295811	11.507538	11.397996	10.278565	10.381945	9.98915	NaN	NaN	NaN	10.049725	10.171394	9.999283	9.635748	9.678268	9.507713	9.322549	9.531728	9.295348	NaN	NaN	NaN	NaN	NaN	NaN	10.137984	10.064318	9.894845	9.799864	9.88371	9.802469	9.583228	9.434919	9.583406	NaN	NaN	NaN	9.716306	9.5154505	9.471467	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.522496	9.016226	8.81236	NaN	NaN	NaN	11.357568	11.249818	11.342464	10.614262	10.361786	9.086524	10.936802	10.871023	11.010681	10.882875	10.774526	10.938126	10.453976	10.933886	11.161201	11.179642	10.96012	11.484069	11.649924	11.503668	11.247571	10.3044815	10.419641	10.281968	9.636115	10.619036	11.012028	11.375253	10.975962	11.1275	10.7809725	10.807108	10.93069	11.51853	11.064579	11.437402	11.086717	11.339907	11.201188	11.331417	11.110391	11.188932
sp|Q07955|SRSF1_HUMAN	13.118625	12.946619	13.296998	13.05087	13.026189	12.743338	13.014542	12.765272	12.94615	12.967989	12.919602	13.141617	12.882776	12.51081	12.559122	12.471702	12.147369	12.438778	12.450095	12.617387	12.831596	12.875519	12.737574	12.992059	12.161532	12.006049	12.034181	12.759228	12.710636	12.521676	12.759228	12.710636	12.521676	12.2156105	12.092125	12.023765	11.296999	11.452952	11.51471	12.326613	11.997535	11.952353	11.827577	11.713843	11.898865	11.19978	11.3180895	10.983122	12.588126	12.487753	12.5011425	12.341008	12.466023	12.43865	12.3288145	12.471767	12.325256	12.198745	12.17561	12.245871	10.671416	10.75529	10.572682	NaN	NaN	NaN	10.982397	11.042336	11.0819235	12.9409895	12.955724	13.23026	12.625631	12.935862	13.057947	12.8701315	12.926087	12.931114	12.72411	12.7378845	13.011779	12.306376	12.14994	12.221769	12.806709	12.758688	12.783928	13.168449	13.243472	13.236808	13.34405	13.209402	13.122767	11.906756	12.160968	12.056635	13.048384	12.930571	12.930184	12.750418	12.865724	12.874179	12.378668	12.394318	12.311219	11.344883	11.64032	11.85564	11.676404	11.440849	11.978362	12.578515	12.997828	13.090594	12.629066	12.577414	12.484217	12.882187	12.829667	13.017397	12.834168	12.863986	12.972522	11.566669	11.440765	11.488395	12.48156	12.772515	13.070911	12.753344	12.647103	13.135733	12.6041565	12.750967	NaN	NaN	NaN	10.605191	10.216754	12.726053	12.593383	12.63227	NaN	NaN	NaN	12.397794	12.525298	12.387836	11.901329	12.297049	11.683007	11.970417	12.270701	12.339235	12.095635	12.367817	12.239208	11.57512	11.654257	11.340471	12.248587	12.200757	12.489301	12.432309	12.247088	12.112993	12.514554	12.152419	12.435543	12.542837	11.855719	11.029599	11.482258	11.780454	10.91766	12.327937	12.321568	12.06887	10.764123	10.842793	11.355464	11.592399	11.153215	11.558497	12.274245	12.20978	12.1408825
sp|Q07960|RHG01_HUMAN	12.6181965	12.657211	12.643301	12.425345	12.941435	12.112093	12.108826	11.7967	12.134378	12.571637	12.832559	12.625978	12.852156	12.863915	13.250336	13.329131	13.345205	13.053814	13.565572	13.49471	13.5976515	13.256609	12.983248	13.328169	12.335488	12.202549	12.165335	12.068446	12.233859	12.13852	NaN	NaN	NaN	12.097731	12.355246	12.241304	12.332558	12.351208	12.488838	12.3073225	12.378262	12.308931	11.891038	11.908202	12.203841	12.072818	12.004592	12.141331	12.84574	12.93026	12.89332	12.476933	12.242748	12.374384	12.23951	12.272137	12.326353	12.539318	12.676662	12.6837225	11.84127	11.745506	11.640627	10.954882	10.762541	10.599319	NaN	NaN	NaN	12.736089	12.560832	12.93839	12.448501	12.651987	12.827401	12.72987	12.517383	12.430215	12.429461	12.416303	12.436619	12.710018	12.624137	12.562234	12.346056	12.2803955	12.340222	12.381616	12.541964	12.752913	11.865701	12.045946	12.152167	12.228929	12.318884	12.255236	11.5633545	11.743845	11.536839	11.172628	11.294076	11.104776	11.491029	11.555679	11.6458645	NaN	NaN	NaN	10.926642	10.77902	9.063484	12.901825	12.86862	13.175914	12.757065	13.058332	13.028973	13.081525	12.513613	12.80981	12.929151	13.238627	13.003008	11.936855	11.79589	11.649604	12.599704	12.910671	12.924328	12.156779	12.566614	12.936968	12.869796	12.991323	12.653277	13.028076	12.921162	12.688418	12.598395	12.256436	12.457409	12.409891	NaN	NaN	NaN	11.062692	11.220541	10.53481	11.934791	11.748114	12.612217	12.584266	12.054007	12.50182	12.873664	12.581977	12.473309	11.947732	12.264122	12.10513	11.636932	11.206682	11.516323	12.422575	12.238961	12.0983925	12.580634	12.768662	12.75157	NaN	NaN	NaN	10.243317	9.900054	10.682238	NaN	NaN	NaN	NaN	NaN	NaN	10.870884	11.125204	10.966083	11.4988985	11.945019	11.607443
sp|Q08043|ACTN3_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	6.0657644	5.7754874	6.3946304	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.2518644	6.641147	7.869552	NaN	NaN	NaN	10.83266	10.154868	10.411082	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.189113	11.007972	11.146695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.610702	10.789698	10.86963	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.039199	8.81484	8.522076	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.172119	10.878668	10.756896	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
