"","Invitro_protein","Biopsies_protein","Protein_detection","Heart_Failure_info_protein","High_MM_Protein"
"P06727",NA,"brown",2,FALSE,FALSE
"P06732","blue","green",3,FALSE,FALSE
"P06733","yellow","brown",3,FALSE,TRUE
"P06744","yellow","turquoise",3,FALSE,TRUE
"P06748","brown","red",3,FALSE,FALSE
"P06753",NA,"blue",2,FALSE,TRUE
"P06756","yellow",NA,1,FALSE,FALSE
"P06858",NA,"red",2,FALSE,FALSE
"P06865","green",NA,1,FALSE,FALSE
"P07108",NA,"brown",2,FALSE,TRUE
"P07195","turquoise","turquoise",3,FALSE,TRUE
"P07203","brown","brown",3,FALSE,FALSE
"P07237","blue","brown",3,TRUE,TRUE
"P07305",NA,"blue",2,FALSE,FALSE
"P07339","blue","turquoise",3,FALSE,TRUE
"P07355","brown","red",3,FALSE,TRUE
"P07384",NA,"turquoise",2,FALSE,FALSE
"P07437","yellow","turquoise",3,TRUE,TRUE
"P07451",NA,"blue",2,FALSE,FALSE
"P07585",NA,"red",2,TRUE,TRUE
"P07602","turquoise","yellow",3,FALSE,FALSE
"P07686","brown","blue",3,FALSE,FALSE
"P07737","yellow","red",3,FALSE,FALSE
"P07814","green","green",3,FALSE,FALSE
"P07858","yellow","blue",3,TRUE,FALSE
"P07900","yellow","blue",3,FALSE,FALSE
"P07910","turquoise","brown",3,FALSE,FALSE
"P07919","brown","green",3,FALSE,FALSE
"P07942","yellow","green",3,FALSE,FALSE
"P07951","turquoise","red",3,FALSE,FALSE
"P07954","blue","brown",3,FALSE,TRUE
"P07996","blue","green",3,TRUE,FALSE
"P08123",NA,"blue",2,TRUE,FALSE
"P08133","turquoise","turquoise",3,TRUE,FALSE
"P08237","turquoise","turquoise",3,FALSE,FALSE
"P08238","blue","blue",3,FALSE,FALSE
"P08294",NA,"yellow",2,TRUE,FALSE
"P08311",NA,"brown",2,FALSE,FALSE
"P08514",NA,"brown",2,FALSE,FALSE
"P08559","brown","brown",3,FALSE,TRUE
"P08572","yellow","turquoise",3,FALSE,TRUE
"P08574","blue","turquoise",3,FALSE,TRUE
"P08590","turquoise","blue",3,FALSE,TRUE
"P08603",NA,"green",2,FALSE,FALSE
"P08621","turquoise",NA,1,FALSE,FALSE
"P08670","blue","red",3,FALSE,TRUE
"P08697",NA,"yellow",2,FALSE,TRUE
"P08727","blue",NA,1,FALSE,FALSE
"P08758","brown","blue",3,TRUE,FALSE
"P08779",NA,"brown",2,FALSE,FALSE
"P08865","turquoise","turquoise",3,FALSE,FALSE
"P09104","turquoise","blue",3,FALSE,FALSE
"P09110","brown","brown",3,FALSE,FALSE
"P09211","brown","blue",3,FALSE,FALSE
"P09382","brown","red",3,FALSE,FALSE
"P09417",NA,"brown",2,FALSE,FALSE
"P09429","turquoise","brown",3,TRUE,FALSE
"P09493","yellow","blue",3,TRUE,TRUE
"P09497","turquoise","yellow",3,FALSE,TRUE
"P09525","brown","yellow",3,FALSE,FALSE
"P09622","brown","brown",3,FALSE,TRUE
"P09651","yellow","blue",3,FALSE,FALSE
"P09669","blue","turquoise",3,FALSE,FALSE
"P09874",NA,"blue",2,TRUE,TRUE
"P09960","turquoise",NA,1,FALSE,FALSE
"P09972","blue","blue",3,FALSE,FALSE
"P0C0L4",NA,"green",2,FALSE,FALSE
"P0C0L5",NA,"green",2,FALSE,TRUE
"P0C7P0",NA,"blue",2,FALSE,FALSE
"P0CAP1",NA,"yellow",2,FALSE,TRUE
"P0CG05",NA,"black",2,FALSE,FALSE
"P0CW24",NA,"pink",2,FALSE,FALSE
"P0DJI9",NA,"blue",2,FALSE,FALSE
"P10109",NA,"blue",2,FALSE,FALSE
"P10155","turquoise","turquoise",3,FALSE,TRUE
"P10176",NA,"turquoise",2,FALSE,FALSE
"P10253","yellow","brown",3,FALSE,FALSE
